REALCURRENTTIME;CORE_TEMP;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
300;24.99933;100;100
600;24.99933;100;100
900;24.99933;100;100
1200;24.99933;100;100
1500;24.99933;100;100
1800;24.99933;100;100
2100;24.99933;100;100
2400;24.99933;100;100
2700;24.99933;100;100
3000;24.99933;100;100
3300;24.99933;100;100
3600;24.99933;100;100
3900;24.99933;100;100
4200;24.99933;100;100
4500;24.99933;100;100
4800;24.99933;100;100
5100;24.99933;100;100
5400;24.99933;100;100
5700;24.99933;100;100
6000;24.99933;100;100
6300;24.99933;100;100
6600;24.99933;100;100
6900;24.99933;100;100
7200;24.99933;100;100
7500;24.99933;100;100
7800;24.99933;100;100
8100;24.99933;100;100
8400;24.99933;100;100
8700;24.99933;100;100
8999;24.99933;100;100
9300;24.99933;100;100
9600;24.99933;100;100
9900;24.99933;100;100
10200;24.99933;100;100
10500;24.99933;100;100
10800;24.99933;100;100
11099;24.99933;100;100
11400;24.99933;100;100
11700;24.99933;100;100
12000;24.99933;100;100
12300;24.99933;100;100
12600;24.99933;100;100
12900;24.99933;100;100
13200;24.99933;100;100
13500;24.99933;100;100
13799;24.99933;100;100
14100;24.99933;100;100
14400;24.99933;100;100
14700;24.99933;100;100
15000;24.99933;100;100
15300;24.99933;100;100
15600;24.99933;100;100
15900;24.99933;100;100
16200;24.99933;100;100
16500;24.99933;100;100
16800;24.99933;100;100
17099;24.99933;100;100
17400;24.99933;100;100
17700;24.99933;100;100
18000;24.99933;100;100
18300;24.99933;100;100
18600;24.99933;100;100
18900;24.99933;100;100
19200;24.99933;100;100
19500;24.99933;100;100
19800;24.99933;100;100
20101;24.99933;100;100
20400;24.99933;100;100
20700;24.99933;100;100
21000;24.99933;100;100
21300;24.99933;100;100
21600;24.99933;100;100
21900;24.99933;100;100
22200;24.99933;100;100
22500;24.99933;100;100
22800;24.99933;100;100
23100;24.99933;100;100
23400;24.99933;100;100
23700;24.99933;100;100
24000;24.99933;100;100
24301;24.99933;100;100
24600;24.99933;100;100
24900;24.99933;100;100
25200;24.99933;100;100
25500;24.99933;100;100
25800;24.99933;100;100
26100;24.99933;100;100
26400;24.99933;100;100
26700;24.99933;100;100
27000;24.99933;99.375;0
27301;24.99933;99.375;0
27600;24.99933;99.375;0
27900;24.99933;99.375;0
28201;24.99933;96.66666;0
28500;24.99933;96.66666;0
28800;24.99933;96.66666;0
29100;24.99933;94.16666;0
29400;25.19916;94.16666;0
29700;25.19916;94.16666;0
30000;25.19916;94.16666;0
30300;25.62864;91.45833;0
30599;25.62864;91.45833;0
30900;25.62864;91.45833;0
31200;26.26758;88.54166;0
31500;26.26758;88.54166;0
31800;26.26758;88.54166;0
32100;26.26758;88.54166;0
32400;27.10582;85.83333;0
32700;27.10582;85.83333;0
33000;27.10582;85.83333;0
33300;28.14319;83.33333;0
33600;28.14319;83.33333;0
33900;28.14319;83.33333;0
34200;29.38964;83.33333;0
34499;29.38964;80.625;0
34800;29.38964;80.625;0
35100;29.38964;80.625;0
35400;30.83517;77.60416;0
35700;30.83517;77.60416;0
36000;30.83517;77.60416;0
36300;32.50972;75.00001;0
36600;32.50972;75.00001;0
36900;32.50972;75.00001;0
37200;34.40325;75.00001;0
37500;34.40325;72.50001;0
37800;34.40325;72.50001;0
38100;34.40325;72.50001;0
38400;36.50572;70.00001;0
38700;36.50572;70.00001;0
39000;36.50572;70.00001;0
39300;38.81712;70.00001;0
39600;38.81712;66.66668;0
39900;38.81712;66.66668;0
40200;41.31743;66.66668;0
40500;41.31743;64.16668;0
40800;41.31743;64.16668;0
41100;41.31743;64.16668;0
41400;44.01666;64.16668;0
41700;44.01666;61.66668;0
42000;44.01666;61.66668;0
42300;46.90482;61.66668;0
42600;46.90482;59.16669;0
42900;46.90482;59.16669;0
43200;49.99191;59.16669;0
43500;49.99191;59.16669;0
43799;49.99191;56.14585;0
44100;49.99191;56.14585;0
44400;53.26792;56.14585;0
44700;53.26792;53.33336;0
45000;53.26792;53.33336;0
45300;56.75283;53.33336;0
45600;56.75283;53.33336;0
45900;56.75283;50.83336;0
46199;60.44664;50.83336;0
46500;60.44664;50.83336;0
46800;60.44664;48.33336;0
47100;60.44664;48.33336;0
47400;64.34931;48.33336;0
47700;64.34931;48.33336;0
48000;64.34931;45.31253;0
48300;68.44086;45.31253;0
48600;68.44086;45.31253;0
48900;68.44086;42.50003;0
49200;72.73126;42.50003;0
49500;72.73126;42.50003;0
49800;72.73126;42.50003;0
50100;72.73126;40.00004;0
50400;77.20055;40.00004;0
50700;77.20055;40.00004;0
51000;77.20055;37.39587;0
51300;81.85872;37.39587;0
51600;81.85872;37.39587;0
51900;81.85872;37.39587;0
52200;86.71872;34.37504;0
52500;86.6958;34.37504;0
52800;86.6958;34.37504;0
53100;86.6958;31.66671;0
53399;91.73178;31.66671;0
53700;91.73178;31.66671;0
54000;91.73178;31.66671;0
54300;96.97665;29.1667;0
54600;96.97665;29.1667;0
54900;96.97665;29.1667;0
55200;96.97665;26.45835;0
55500;102.4104;26.45835;0
55800;102.4104;26.45835;0
56100;102.4104;26.45835;0
56400;108.0331;23.33334;0
56700;108.0331;23.33334;0
57000;108.0331;23.33334;0
57300;113.8246;20.83333;0
57600;113.8246;20.83333;0
57900;113.8246;20.83333;0
58200;113.8246;20.83333;0
58500;119.805;18.33332;0
58800;119.805;18.33332;0
59100;119.805;18.33332;0
59400;125.9544;15.72915;0
59700;125.9544;15.72915;0
60000;125.9544;15.72915;0
60300;132.2827;15.72915;0
60600;132.2827;12.7083;0
60900;132.2827;12.7083;0
61200;132.2827;12.7083;0
61500;138.7899;9.999959;0
61800;138.7899;9.999959;0
62100;138.7899;9.999959;0
62400;145.4661;9.999959;0
62700;145.4661;7.499949;0
63000;145.4661;7.499949;0
63300;152.3412;7.499949;0
63600;152.3412;4.999939;0
63900;152.3412;4.999939;0
64200;152.3412;4.999939;0
64500;159.3952;2.291596;0
64800;159.3952;2.291596;0
65100;159.3952;2.291596;0
65400;166.6182;2.291596;0
65700;166.6182;0;0
66000;166.6182;0;0
66300;173.8104;0;0
66600;173.8104;0;0
66900;173.8104;0;0
67200;173.8104;0;0
67500;180.9718;0;0
67799;180.9718;0;0
68100;180.9718;0;0
68400;188.1027;0;0
68700;188.1027;0;0
69000;188.1027;0;0
69300;195.1929;0;0
69600;195.1929;0;0
69900;195.1929;0;0
70200;195.1929;0;0
70500;202.2417;0;0
70800;202.2417;0;0
71099;202.2417;0;0
71400;209.2605;0;0
71700;209.2605;0;0
72000;209.2605;0;0
72300;216.2494;0;0
72600;216.2494;0;0
72900;216.2494;0;0
73200;216.2494;0;0
73500;223.1984;0;0
73800;223.1984;0;0
74100;223.1984;0;0
74400;230.1076;0;0
74700;230.1076;0;0
74999;230.1076;0;0
75300;236.9567;0;0
75600;236.9567;0;0
