REALCURRENTTIME;CORE_TEMP;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
300;24.99933;100;100
600;24.99933;100;100
900;24.99933;100;100
1200;24.99933;100;100
1500;24.99933;100;100
1800;24.99933;100;100
2100;24.99933;100;100
2400;24.99933;100;100
2700;24.99933;100;100
2999;24.99933;100;100
3300;24.99933;100;100
3600;24.99933;100;100
3900;24.99933;100;100
4200;24.99933;100;100
4500;24.99933;100;100
4800;24.99933;100;100
5100;24.99933;100;100
5400;24.99933;100;100
5700;24.99933;100;100
6000;24.99933;100;100
6301;24.99933;100;100
6600;24.99933;100;100
6900;24.99933;100;100
7200;24.99933;100;100
7499;24.99933;100;100
7800;24.99933;100;100
8100;24.99933;100;100
8400;24.99933;100;100
8700;24.99933;100;100
8999;24.99933;100;100
9301;24.99933;100;100
9600;24.99933;100;100
9900;24.99933;100;100
10200;24.99933;100;100
10500;24.99933;100;100
10800;24.99933;100;100
11100;24.99933;100;100
11400;24.99933;100;100
11700;24.99933;100;100
12000;24.99933;100;75
12300;24.99933;100;75
12600;24.99933;97.5;75
12900;24.99933;97.5;75
13200;24.99933;97.5;75
13499;24.99933;97.5;75
13800;24.99933;94.27083;75
14100;24.99933;94.27083;75
14400;25.19916;94.27083;75
14700;25.19916;94.27083;75
15000;25.19916;91.45833;75
15300;25.62864;91.45833;75
15600;25.62864;91.45833;75
15900;25.62864;91.45833;75
16199;26.26758;88.33333;75
16499;26.26758;88.33333;75
16800;26.26758;88.33333;75
17100;26.26758;88.33333;75
17400;27.10582;85;75
17700;27.10582;85;75
18000;27.10582;85;75
18300;28.14319;85;75
18601;28.14319;82.39584;75
18900;28.14319;82.39584;75
19201;29.38967;82.39584;75
19500;29.38967;82.39584;75
19800;29.38967;79.16667;75
20100;29.38967;79.16667;75
20400;30.83525;79.16667;75
20700;30.83525;79.16667;75
21000;30.83525;75.83334;75
21300;32.47994;75.83334;75
21600;32.47994;75.83334;75
21900;32.47994;75.83334;75
22199;34.18382;75;75
22500;34.18382;75;75
22800;34.18382;75;75
23101;34.18382;75;75
23400;35.88706;75;75
23700;35.88706;75;75
24000;35.88706;75;75
24300;37.56982;75;75
24600;37.56982;75;75
24900;37.56982;75;75
25200;39.25227;75;75
25500;39.25227;75;75
25800;39.25227;75;75
26099;39.25227;75;75
26400;40.92456;75;75
26700;40.92456;75;75
27000;40.92456;75;75
27301;42.58675;75;75
27600;42.58675;75;75
27900;42.58675;75;75
28200;44.23886;75;75
28500;44.23886;75;75
28800;44.23886;75;75
29100;44.23886;75;75
29400;45.89089;75;75
29700;45.89089;75;75
30000;45.89089;75;75
30300;47.52285;75;75
30599;47.52285;75;75
30900;47.52285;75;75
31200;49.15475;75;75
31500;49.15475;75;75
31800;49.15475;75;75
32100;49.15475;75;75
32400;50.77658;75;75
32700;50.77658;75;75
33000;50.77658;75;75
33300;52.38837;75;75
33601;52.38837;75;75
33900;52.38837;75;75
34200;53.99011;75;75
34500;53.99011;75;75
34800;53.99011;75;75
35100;53.99011;75;75
35400;55.59181;75;75
35700;55.59181;75;75
36000;55.59181;75;75
36300;57.18346;75;75
36600;57.18346;75;75
36900;57.18346;75;75
37200;58.7551;75;75
37500;58.7551;75;75
37799;58.7551;75;75
38100;58.7551;75;75
38399;60.32672;75;75
38700;60.32672;75;75
39000;60.32672;75;75
39300;61.8983;75;75
39600;61.8983;75;75
39900;61.8983;75;75
40200;63.4583;75;75
40500;63.44987;75;75
40800;63.44987;75;75
41100;63.44987;75;75
41400;65.00143;75;75
41700;65.00143;75;75
42000;65.00143;75;75
42299;66.54297;75;75
42600;66.54297;75;75
42900;66.54297;75;75
43200;68.08297;75;75
43500;68.0745;75;75
43800;68.0745;75;75
44100;68.0745;75;75
44400;69.59604;75;75
44700;69.59604;75;75
45000;69.59604;75;75
45300;71.11757;75;75
45600;71.11757;75;75
45900;71.11757;75;75
46200;71.11757;75;75
46500;72.61911;75;75
46800;72.61911;75;75
47099;72.61911;75;75
47399;74.12066;75;75
47700;74.12066;75;75
48000;74.12066;75;75
48300;75.6222;75;75
48600;75.6222;75;75
48900;75.6222;75;75
49200;75.6222;75;75
49500;77.10375;75;75
49800;77.10375;75;75
50100;77.10375;75;75
50400;78.58531;75;75
50700;78.58531;75;75
51000;78.58531;75;75
51300;80.05688;75;75
51600;80.05688;75;75
51900;80.05688;75;75
52200;80.05688;75;75
52500;81.51847;75;75
52800;81.51847;75;75
53100;81.51847;75;75
53400;82.97008;75;75
53700;82.97008;75;75
54000;82.97008;75;75
54300;84.4217;75;75
54600;84.4217;75;75
54900;84.4217;75;75
55200;84.4217;75;75
55500;85.86334;75;75
55800;85.86334;75;75
56100;85.86334;75;75
56400;87.29501;75;75
56700;87.29501;75;75
57000;87.29501;75;75
57300;88.71671;75;75
57600;88.71671;75;75
57900;88.71671;75;75
58200;88.71671;75;75
58500;90.13841;75;75
58800;90.13841;75;75
59100;90.13841;75;75
59399;91.55015;75;75
59700;91.55015;75;75
59999;91.55015;75;75
60300;92.9619;75;75
60600;92.9619;75;75
60900;92.9619;75;75
61200;92.9619;75;75
61500;94.35368;75;75
61800;94.35368;75;75
62100;94.35368;75;75
62400;95.74549;75;75
62700;95.74549;75;75
63000;95.74549;75;75
63300;97.12733;75;75
63600;97.12733;75;75
63900;97.12733;75;75
64200;97.12733;75;75
64500;98.49919;75;75
64800;98.49919;75;75
65100;98.49919;75;75
65400;99.87109;75;75
65701;99.87109;75;75
66000;99.87109;75;75
66300;101.233;75;75
66600;101.233;75;75
66900;101.233;75;75
67200;101.233;75;75
67500;102.595;75;75
67800;102.595;75;75
68101;102.595;75;75
68399;103.9369;75;75
68699;103.9369;75;75
69000;103.9369;75;75
69300;105.279;75;75
69600;105.279;75;75
69900;105.279;75;75
70200;105.279;75;75
70500;106.611;75;75
70801;106.611;75;75
71100;106.611;75;75
71400;107.9431;75;75
71699;107.9431;75;75
72000;107.9431;75;75
72300;109.2652;75;75
72600;109.2652;75;75
72900;109.2652;75;75
73200;109.2652;75;75
73499;110.5773;75;75
73800;110.5773;75;75
74099;110.5773;75;75
74400;111.8895;75;75
74701;111.8895;75;75
75000;111.8895;75;75
75300;113.1817;75;75
75600;113.1817;75;75
75900;113.1817;75;75
76200;113.1817;75;75
76500;114.4839;75;75
76801;114.4839;75;75
77100;114.4839;75;75
77400;115.7662;75;75
77700;115.7662;75;75
78000;115.7662;75;75
78300;115.7662;75;75
78600;117.0485;75;75
78900;117.0485;75;75
79200;117.0485;75;75
79500;118.3208;75;75
79799;118.3208;75;75
80100;118.3208;75;75
80400;119.5932;75;75
80700;119.5932;75;75
81000;119.5932;75;75
81300;119.5932;75;75
81600;120.8556;75;75
81900;120.8556;75;75
82200;120.8556;75;75
82500;122.1081;75;75
82800;122.1081;75;75
83100;122.1081;75;75
83400;123.3605;75;75
