REALCURRENTTIME;CORE_TEMP;CORE_IODINE_CUMULATIVE;CORE_XENON_CUMULATIVE;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
1000;24.99934;0;0;100;100
2001;24.99928;0;0;100;100
3001;24.99925;0;0;100;100
4001;24.99924;0;0;100;100
5000;24.69924;0;0;100;100
6000;24.84937;0;0;100;100
7000;24.92942;0;0;100;100
8001;24.96944;0;0;100;100
9000;24.98945;0;0;100;100
10001;24.99945;0;0;100;100
11000;24.99933;0;0;100;100
12000;24.99927;0;0;99.27083;75
13001;24.99925;0;0;99.27083;75
14001;25.12913;0;0;95.83334;75
15000;25.48872;0;0;91.66666;75
16001;25.75783;0.005707518;0;91.66666;75
17001;26.67643;0.005707518;0;86.5625;75
18000;27.65421;0.005707518;0;86.5625;75
19000;28.83109;0.005707518;0;81.66666;75
20000;30.21709;0.005707518;0;78.33334;75
21000;31.82217;0.005707518;0;78.33334;75
22000;33.52628;0.005707518;0;75;75
23000;35.2297;0.005707518;0;75;75
24000;36.92259;0.005707518;0;75;75
25001;38.30511;0.005707518;0;75;75
26000;40.12757;0.1463131;0;75;75
27000;41.78992;0.1463131;0;75;75
28000;43.45219;0.1463131;0;75;75
29001;45.09438;0.1463131;0;75;75
30001;46.7365;0.1463131;0;75;75
31000;48.36843;0.1463131;0;75;75
32000;50.0003;0.1463131;0;75;75
33000;51.61212;0.1463131;0;75;75
34000;53.22388;0.1463131;0;75;75
35001;54.8156;0.1463131;0;75;75
36000;56.10729;0.3171937;0;75;75
37001;57.83908;0.3171937;0;75;75
38000;59.42083;0.3171937;0;75;75
39000;60.98256;0.3171937;0;75;75
40000;62.54427;0.3171937;0;75;75
41000;64.09595;0.3171937;0;75;75
42001;65.63753;0.3171937;0;75;75
43000;67.17909;0.3171937;0;75;75
44001;68.70065;0.3171937;0;75;75
45001;70.2222;0.3171937;0;75;75
46000;71.44373;0.4878936;0;75;75
47000;73.09541;0.4878936;0;75;75
48001;74.58709;0.4878936;0;75;75
49000;76.07877;0.4878936;0;75;75
50000;77.56046;0.4878936;0;75;75
51000;79.04217;0.4878936;0;75;75
52000;80.50378;0.4878936;0;75;75
53001;81.96539;0.4878936;0;75;75
54000;83.41703;0.4878936;0;75;75
55000;84.86868;0.4878936;0;75;75
56000;86.00035;0.6584127;0;75;75
57000;87.58216;0.6584127;0;75;75
58000;89.01216;0.6584127;0;75;75
59000;90.42585;0.6584127;0;75;75
60001;91.83585;0.6584127;0;75;75
61000;91.82774;0.6584127;0;75;75
62000;93.22965;0.6584127;0;75;75
63000;94.63147;0.6584127;0;75;75
64000;96.01331;0.6584127;0;75;75
65000;97.39519;0.6584127;0;75;75
66000;98.76708;0.6584127;0;75;75
67000;99.839;0.8287516;0;75;75
68001;101.3511;0.8287516;0;75;75
69001;102.7032;0.8287516;0;75;75
70000;104.0453;0.8287516;0;75;75
71000;105.3875;0.8287516;0;75;75
72000;106.7197;0.8287516;0;75;75
73000;108.0418;0.8287516;0;75;75
74000;109.3639;0.8287516;0;75;75
75000;110.6761;0.8287516;0;75;75
76001;111.6883;0.8287516;0;75;75
77000;113.1307;0.9989101;0;75;75
78001;114.423;0.9989101;0;75;75
79001;115.7155;0.9989101;0;75;75
80000;116.9979;0.9989101;0;75;75
81000;118.2704;0.9989101;0;75;75
82000;119.5328;0.9989101;0;75;75
83000;120.7953;0.9989101;0;75;75
84001;122.0477;0.9989101;0;75;75
85000;123.3003;0.9989101;0;75;75
86000;124.5428;0.9989101;0;75;75
87000;125.4754;1.168889;0;75;75
88000;126.8481;1.168889;0;75;75
89000;128.0709;1.168889;0;75;75
90000;129.2937;1.168889;0;75;75
91001;130.5065;1.168889;0;75;75
92001;131.7094;1.168889;0;75;75
93001;132.9021;1.168889;0;75;75
94000;134.0949;1.168889;0;75;75
95000;135.2878;1.168889;0;75;75
96001;136.1607;1.168889;0;75;75
97001;137.4837;1.338687;0;75;75
98000;138.6568;1.338687;0;75;75
99000;139.8199;1.338687;0;75;75
100000;140.973;1.338687;0;75;75
101001;142.1262;1.338687;0;75;75
102000;143.2693;1.338687;0;75;75
103001;144.4124;1.338687;0;75;75
104000;145.5455;1.338687;0;75;75
105000;146.6687;1.338687;0;75;75
106000;147.492;1.338687;0;75;75
107001;148.7554;1.508307;0;75;75
108000;149.8688;1.508307;0;75;75
109001;150.9722;1.508307;0;75;75
110000;152.0757;1.508307;0;75;75
111001;153.1692;1.508307;0;75;75
112001;154.2526;1.508307;0;75;75
113000;155.3361;1.508307;0;75;75
114001;156.4195;1.508307;0;75;75
115001;157.4831;1.508307;0;75;75
116000;158.2566;1.508307;0;75;75
117000;159.4603;1.677746;0;75;75
118000;160.5241;1.677746;0;75;75
119000;161.5679;1.677746;0;75;75
120000;162.6117;1.677746;0;75;75
121001;163.6555;1.677746;0;75;75
122001;164.6892;1.677746;0;75;75
123001;165.713;1.677746;0;75;75
124001;166.7368;1.677746;0;75;75
125001;167.7607;1.677746;0;75;75
126000;168.7745;1.677746;0;75;75
127000;169.4784;1.847007;0;75;75
128000;170.6325;1.847007;0;75;75
129001;171.6366;1.847007;0;75;75
130000;172.6307;1.847007;0;75;75
131000;173.6148;1.847007;0;75;75
132000;174.599;1.847007;0;75;75
133001;175.5731;1.847007;0;75;75
134000;176.5472;1.847007;0;75;75
135001;177.5213;1.847007;0;75;75
136000;178.1855;1.847007;0;75;75
137001;179.2898;2.016089;0;75;75
138001;180.2442;2.016089;0;75;75
139000;181.1886;2.016089;0;75;75
140001;182.133;2.016089;0;75;75
141001;183.0774;2.016089;0;75;75
142000;184.0118;2.016089;0;75;75
143001;184.9361;2.016089;0;75;75
144001;185.8605;2.016089;0;75;75
145000;186.785;2.016089;0;75;75
146000;187.6994;2.016089;0;75;75
147001;188.3139;2.184992;0;75;75
148000;189.3685;2.184992;0;75;75
149000;190.2632;2.184992;0;75;75
150001;191.1679;2.184992;0;75;75
151001;192.0526;2.184992;0;75;75
152000;192.9473;2.184992;0;75;75
153000;193.832;2.184992;0;75;75
154001;194.7067;2.184992;0;75;75
155001;195.5814;2.184992;0;75;75
156001;196.1562;2.184992;0;75;75
157001;197.1711;2.353716;0;75;75
158000;198.026;2.353716;0;75;75
159000;198.8909;2.353716;0;75;75
160001;199.7359;2.353716;0;75;75
161000;200.5909;2.353716;0;75;75
162000;201.4358;2.353716;0;75;75
163000;202.2707;2.353716;0;75;75
164001;203.1056;2.353716;0;75;75
165000;203.9406;2.353716;0;75;75
166001;204.7656;2.353716;0;75;75
167001;205.2906;2.522262;0;75;75
168001;206.2558;2.522262;0;75;75
169000;207.071;2.522262;0;75;75
170000;207.8762;2.522262;0;75;75
171000;208.6814;2.522262;0;75;75
172000;209.4867;2.522262;0;75;75
173001;210.2819;2.522262;0;75;75
174000;211.0771;2.522262;0;75;75
175000;211.8723;2.522262;0;75;75
176001;212.6576;2.522262;0;75;75
177001;213.1328;2.690629;0;75;75
178000;214.0582;2.690629;0;75;75
179001;214.8337;2.690629;0;75;75
180001;215.6091;2.690629;0;75;75
181001;216.3746;2.690629;0;75;75
182000;217.1301;2.690629;0;75;75
183000;217.8956;2.690629;0;75;75
184000;218.651;2.690629;0;75;75
185000;219.3965;2.690629;0;75;75
186001;219.8419;2.690629;0;75;75
187000;220.7376;2.858819;0;75;75
188000;221.4732;2.858819;0;75;75
189001;222.2089;2.858819;0;75;75
190000;222.9446;2.858819;0;75;75
191000;223.6703;2.858819;0;75;75
192001;224.396;2.858819;0;75;75
193000;225.1116;2.858819;0;75;75
194000;225.8273;2.858819;0;75;75
195000;226.543;2.858819;0;75;75
196000;226.9487;2.858819;0;75;75
197000;227.8046;3.026831;0;75;75
198000;228.5105;3.026831;0;75;75
199000;229.2063;3.026831;0;75;75
200001;229.9023;3.026831;0;75;75
201000;230.5982;3.026831;0;75;75
202000;231.2841;3.026831;0;75;75
203001;231.9699;3.026831;0;75;75
204000;232.6458;3.026831;0;75;75
205000;233.3217;3.026831;0;75;75
206000;233.6976;3.026831;0;75;75
207000;234.5237;3.194665;0;75;75
208001;235.1898;3.194665;0;75;75
209000;235.8559;3.194665;0;75;75
210001;236.512;3.194665;0;75;75
211000;237.1682;3.194665;0;75;75
212000;237.8242;3.194665;0;75;75
213001;238.4703;3.194665;0;75;75
214000;239.1164;3.194665;0;75;75
215000;239.7625;3.194665;0;75;75
216000;240.3986;3.194665;0;75;75
217001;240.7448;3.362322;0;75;75
218000;241.521;3.362322;0;75;75
219001;242.1574;3.362322;0;75;75
220000;242.7837;3.362322;0;75;75
221000;243.4101;3.362322;0;75;75
222001;244.0265;3.362322;0;75;75
223000;244.6428;3.362322;0;75;75
224000;245.2591;3.362322;0;75;75
225001;245.8755;3.362322;0;75;75
226001;246.1819;3.362322;0;75;75
227000;246.9384;3.529802;0;75;75
228000;247.5349;3.529802;0;75;75
229001;248.1415;3.529802;0;75;75
230001;248.7381;3.529802;0;75;75
231001;249.3247;3.529802;0;75;75
232000;249.9212;3.529802;0;75;75
233001;250.5077;3.529802;0;75;75
234000;251.0843;3.529802;0;75;75
235001;251.6708;3.529802;0;75;75
236001;251.9474;3.529802;0;75;75
237000;252.6741;3.697105;0;75;75
238000;253.2409;3.697105;0;75;75
239000;253.8177;3.697105;0;75;75
240000;254.3845;3.697105;0;75;75
241000;254.9413;3.697105;0;75;75
242001;255.508;3.697105;0;75;75
243000;256.0647;3.697105;0;75;75
244000;256.6115;3.697105;0;75;75
245000;257.1682;3.697105;0;75;75
246000;257.415;3.697105;0;75;75
247000;258.112;3.864231;0;75;75
248000;258.6589;3.864231;0;75;75
249001;259.1959;3.864231;0;75;75
250000;259.7328;3.864231;0;75;75
251000;260.2698;3.864231;0;75;75
252000;260.7967;3.864231;0;75;75
253000;261.3336;3.864231;0;75;75
254000;261.8606;3.864231;0;75;75
255000;262.3875;3.864231;0;75;75
256000;262.9044;3.864231;0;75;75
257001;263.1214;4.03118;0;75;75
258001;263.7885;4.03118;0;75;75
259000;264.3057;4.03118;0;75;75
260000;264.8128;4.03118;0;75;75
261000;265.32;4.03118;0;75;75
262001;265.8272;4.03118;0;75;75
263000;266.3343;4.03118;0;75;75
264000;266.8314;4.03118;0;75;75
265000;267.3285;4.03118;0;75;75
266000;267.8256;4.03118;0;75;75
267001;268.0227;4.197953;0;75;75
268000;268.66;4.197953;0;75;75
269000;269.1473;4.197953;0;75;75
270000;269.6346;4.197953;0;75;75
271001;270.1119;4.197953;0;75;75
272000;270.5893;4.197953;0;75;75
273000;271.0666;4.197953;0;75;75
274001;271.5438;4.197953;0;75;75
275000;272.0211;4.197953;0;75;75
276001;272.4879;4.197953;0;75;75
277001;272.4879;4.36455;0;75;75
278000;273.1839;4.36455;0;75;75
279000;273.6495;4.36455;0;75;75
280001;274.1046;4.36455;0;75;75
281000;274.5593;4.36455;0;75;75
282000;275.0136;4.36455;0;75;75
283001;275.4672;4.36455;0;75;75
284001;275.9204;4.36455;0;75;75
285001;276.3633;4.36455;0;75;75
286001;276.8057;4.36455;0;75;75
287001;276.9478;4.53097;0;75;75
288001;277.5396;4.53097;0;75;75
289000;277.9709;4.53097;0;75;75
290001;278.412;4.53097;0;75;75
291001;278.8426;4.53097;0;75;75
292001;279.2728;4.53097;0;75;75
293000;279.7026;4.53097;0;75;75
294001;280.122;4.53097;0;75;75
295000;280.5411;4.53097;0;75;75
296001;280.6699;4.53097;0;75;75
297000;281.2385;4.697215;0;75;75
298000;281.6468;4.697215;0;75;75
299000;282.0648;4.697215;0;75;75
300001;282.4726;4.697215;0;75;75
301001;282.8801;4.697215;0;75;75
302001;283.2874;4.697215;0;75;75
303000;283.6945;4.697215;0;75;75
304001;284.0916;4.697215;0;75;75
305000;284.4987;4.697215;0;75;75
306001;284.8956;4.697215;0;75;75
307001;284.8956;4.863284;0;75;75
308001;285.4825;4.863284;0;75;75
309000;285.7794;4.863284;0;75;75
310001;286.1662;4.863284;0;75;75
311000;286.5529;4.863284;0;75;75
312000;286.9396;4.863284;0;75;75
313000;287.326;4.863284;0;75;75
314001;287.7024;4.863284;0;75;75
315000;288.0886;4.863284;0;75;75
316000;288.4648;4.863284;0;75;75
317000;288.541;5.029178;0;75;75
318001;289.0673;5.029178;0;75;75
319000;289.4335;5.029178;0;75;75
320000;289.8097;5.029178;0;75;75
321000;290.1759;5.029178;0;75;75
322001;290.5422;5.029178;0;75;75
323000;290.9083;5.029178;0;75;75
324000;291.2644;5.029178;0;75;75
325001;291.6306;5.029178;0;75;75
326000;291.9868;5.029178;0;75;75
327001;292.043;5.194896;0;75;75
328000;292.5493;5.194896;0;75;75
329000;292.8058;5.194896;0;75;75
330001;293.1523;5.194896;0;75;75
331000;293.5089;5.194896;0;75;75
332000;293.8555;5.194896;0;75;75
333001;294.2021;5.194896;0;75;75
334000;294.5486;5.194896;0;75;75
335001;294.8852;5.194896;0;75;75
336000;295.2318;5.194896;0;75;75
337000;295.2318;5.360439;0;75;75
338000;295.7387;5.360439;0;75;75
339001;295.9957;5.360439;0;75;75
340000;296.3228;5.360439;0;75;75
341000;296.6599;5.360439;0;75;75
342000;296.9872;5.360439;0;75;75
343001;297.3144;5.360439;0;75;75
344000;297.6415;5.360439;0;75;75
345001;297.9688;5.360439;0;75;75
346000;298.2961;5.360439;0;75;75
347001;298.2961;5.525808;0;75;75
348000;298.7737;5.525808;0;75;75
349001;299.0115;5.525808;0;75;75
350000;299.3293;5.525808;0;75;75
351001;299.6472;5.525808;0;75;75
352000;299.9651;5.525808;0;75;75
353000;300.2731;5.525808;0;75;75
354000;300.5911;5.525808;0;75;75
355001;300.8991;5.525808;0;75;75
356000;301.2072;5.525808;0;75;75
357001;301.2155;5.691001;0;75;75
