0:11:52:2:39.04792 | SET ALARM OVERLOAD POWER TRANSFORMER: 0
0:11:52:2:39.04792 | SET ALARM OFF ELECTRICAL GRID: 0
0:11:52:2:39.04792 | SET ALARM OVERLOAD RESISTOR BANK: 0
0:11:52:2:39.03121 | SET ALARM LOW FUEL: 0
0:11:52:2:39.01455 | SET ALARM MANUAL COOLING TOWER: 0
0:11:52:2:38.99788 | SET ALARM GEN. 03 OFFLINE: 0
0:11:52:2:38.99788 | SET ALARM GEN. 02 OFFLINE: 0
0:11:52:2:38.99788 | SET ALARM GEN. 01 OFFLINE: 0
0:11:52:2:38.99788 | SET ALARM TURBINE 03 OFFLINE: 0
0:11:52:2:38.99788 | SET ALARM TURBINE 02 OFFLINE: 0
0:11:52:2:38.99788 | SET ALARM TURBINE 01 OFFLINE: 0
0:11:52:2:38.99788 | SET ALARM TURBINE OVERLOAD: 0
0:11:52:2:38.99788 | SET ALARM GEN 03 DESTROYED: 0
0:11:52:2:38.99788 | SET ALARM GEN 02 DESTROYED: 0
0:11:52:2:38.99788 | SET ALARM GEN 01 DESTROYED: 0
0:11:52:2:38.99788 | SET ALARM TUR 03 DESTROYED: 0
0:11:52:2:38.99788 | SET ALARM TUR 02 DESTROYED: 0
0:11:52:2:38.99788 | SET ALARM TUR 01 DESTROYED: 0
0:11:52:2:38.99788 | SET ALARM LOW INT. TUR. 3: 0
0:11:52:2:38.99788 | SET ALARM LOW INT. TUR. 2: 0
0:11:52:2:38.99788 | SET ALARM LOW INT. TUR. 1: 0
0:11:52:2:38.99788 | SET ALARM LOW INT. GEN. 3: 0
0:11:52:2:38.99788 | SET ALARM LOW INT. GEN. 2: 0
0:11:52:2:38.99788 | SET ALARM LOW INT. GEN. 1: 0
0:11:52:2:38.99788 | SET ALARM CRIT.INT. TURBINE 3: 0
0:11:52:2:38.99788 | SET ALARM CRIT.INT. TURBINE 2: 0
0:11:52:2:38.99788 | SET ALARM CRIT.INT. TURBINE 1: 0
0:11:52:2:38.99788 | SET ALARM CRITICAL INT. GEN. 3: 0
0:11:52:2:38.99788 | SET ALARM CRITICAL INT. GEN. 2: 0
0:11:52:2:38.99788 | SET ALARM CRITICAL INT. GEN. 1: 0
0:11:52:2:38.99788 | SET ALARM NO RESISTOR BANK: 0
0:11:52:2:38.99788 | SET ALARM LOW INTEGRITY GENERATOR 3: 0
